ticker,year,year_scaled,Risk Level
<<<<<<< HEAD,2019.8908499767765,0.0,Medium
C5706,2024.0,1.512951065545379,High
C1577,2022.0,0.7765695477158018,Medium
C5016,2016.0,-1.4325750057729303,Low
C2817,2019.0,-0.3280027290285643,Low
C2287,2015.0,-1.800765764687719,Low
C1162,2022.0,0.7765695477158018,Medium
C2165,2019.0,-0.3280027290285643,Low
C1338,2024.0,1.512951065545379,High
C4762,2016.0,-1.4325750057729303,Low
C4681,2021.0,0.408378788801013,Medium
C1343,2023.0,1.1447603066305905,High
C2055,2023.0,1.1447603066305905,High
C5924,2019.0,-0.3280027290285643,Low
C1517,2015.0,-1.800765764687719,Low
C3472,2015.0,-1.800765764687719,Low
C3040,2016.0,-1.4325750057729303,Low
C2964,2020.0,0.040188029886224365,Medium
C2211,2018.0,-0.696193487943353,Low
C5371,2021.0,0.408378788801013,Medium
C4051,2018.0,-0.696193487943353,Low
C4354,2018.0,-0.696193487943353,Low
C3918,2022.0,0.7765695477158018,Medium
C4800,2018.0,-0.696193487943353,Low
C3507,2024.0,1.512951065545379,High
C3542,2018.0,-0.696193487943353,Low
C2519,2023.0,1.1447603066305905,High
C2805,2020.0,0.040188029886224365,Medium
C2185,2022.0,0.7765695477158018,Medium
C2192,2024.0,1.512951065545379,High
C4606,2016.0,-1.4325750057729303,Low
C3412,2019.0,-0.3280027290285643,Low
C2290,2022.0,0.7765695477158018,Medium
C5419,2019.0,-0.3280027290285643,Low
C3285,2021.0,0.408378788801013,Medium
C1023,2019.0,-0.3280027290285643,Low
C1117,2017.0,-1.0643842468581417,Low
C1054,2021.0,0.408378788801013,Medium
C3776,2022.0,0.7765695477158018,Medium
C2626,2015.0,-1.800765764687719,Low
C5631,2015.0,-1.800765764687719,Low
C5251,2023.0,1.1447603066305905,High
C4059,2023.0,1.1447603066305905,High
C1974,2016.0,-1.4325750057729303,Low
C4773,2022.0,0.7765695477158018,Medium
C5862,2018.0,-0.696193487943353,Low
C1240,2020.0,0.040188029886224365,Medium
C3114,2017.0,-1.0643842468581417,Low
C3547,2015.0,-1.800765764687719,Low
C2191,2020.0,0.040188029886224365,Medium
C3689,2021.0,0.408378788801013,Medium
C4028,2017.0,-1.0643842468581417,Low
C5117,2016.0,-1.4325750057729303,Low
C1173,2016.0,-1.4325750057729303,Low
C1342,2023.0,1.1447603066305905,High
C2406,2024.0,1.512951065545379,High
C2718,2021.0,0.408378788801013,Medium
C2620,2020.0,0.040188029886224365,Medium
C2774,2022.0,0.7765695477158018,Medium
C2934,2024.0,1.512951065545379,High
C2399,2015.0,-1.800765764687719,Low
C3492,2020.0,0.040188029886224365,Medium
C1353,2020.0,0.040188029886224365,Medium
C1394,2018.0,-0.696193487943353,Low
C4541,2022.0,0.7765695477158018,Medium
C2040,2024.0,1.512951065545379,High
C2787,2021.0,0.408378788801013,Medium
C5595,2018.0,-0.696193487943353,Low
C4838,2024.0,1.512951065545379,High
C2423,2023.0,1.1447603066305905,High
C5859,2022.0,0.7765695477158018,Medium
C5889,2024.0,1.512951065545379,High
C1751,2024.0,1.512951065545379,High
C3656,2022.0,0.7765695477158018,Medium
C1020,2019.0,-0.3280027290285643,Low
C1383,2018.0,-0.696193487943353,Low
C3172,2016.0,-1.4325750057729303,Low
C3373,2015.0,-1.800765764687719,Low
C5679,2022.0,0.7765695477158018,Medium
C4091,2020.0,0.040188029886224365,Medium
C3153,2015.0,-1.800765764687719,Low
C5068,2024.0,1.512951065545379,High
C3156,2024.0,1.512951065545379,High
C3732,2015.0,-1.800765764687719,Low
C2277,2017.0,-1.0643842468581417,Low
C4288,2020.0,0.040188029886224365,Medium
C1821,2022.0,0.7765695477158018,Medium
C2232,2020.0,0.040188029886224365,Medium
C2003,2019.0,-0.3280027290285643,Low
C2980,2015.0,-1.800765764687719,Low
C2124,2018.0,-0.696193487943353,Low
C2608,2024.0,1.512951065545379,High
C3003,2022.0,0.7765695477158018,Medium
C3868,2017.0,-1.0643842468581417,Low
C1103,2017.0,-1.0643842468581417,Low
C4658,2018.0,-0.696193487943353,Low
C4225,2018.0,-0.696193487943353,Low
C4379,2024.0,1.512951065545379,High
C5197,2017.0,-1.0643842468581417,Low
C1960,2023.0,1.1447603066305905,High
C3813,2016.0,-1.4325750057729303,Low
C5196,2020.0,0.040188029886224365,Medium
C3696,2019.0,-0.3280027290285643,Low
C5765,2020.0,0.040188029886224365,Medium
C1612,2024.0,1.512951065545379,High
C3919,2015.0,-1.800765764687719,Low
C5902,2022.0,0.7765695477158018,Medium
C1228,2021.0,0.408378788801013,Medium
C2524,2022.0,0.7765695477158018,Medium
C1285,2018.0,-0.696193487943353,Low
C5015,2020.0,0.040188029886224365,Medium
C4415,2019.0,-0.3280027290285643,Low
C4090,2017.0,-1.0643842468581417,Low
C5989,2020.0,0.040188029886224365,Medium
C4349,2021.0,0.408378788801013,Medium
C1534,2015.0,-1.800765764687719,Low
C4999,2019.0,-0.3280027290285643,Low
C2439,2024.0,1.512951065545379,High
C1305,2024.0,1.512951065545379,High
C2667,2015.0,-1.800765764687719,Low
C4030,2016.0,-1.4325750057729303,Low
C4635,2017.0,-1.0643842468581417,Low
C2689,2019.0,-0.3280027290285643,Low
C3264,2016.0,-1.4325750057729303,Low
C4055,2016.0,-1.4325750057729303,Low
C5966,2018.0,-0.696193487943353,Low
C1031,2024.0,1.512951065545379,High
