ticker,year,year_scaled
A,2019.8908499767765,-8.596894769718317e-14
AAL,2019.8908499767765,-8.596894769718317e-14
AAPL,2020.0,0.04126912501781648
AAPL,2021.0,0.4193645555006952
AAPL,2022.0,0.7974599859835739
ABBV,2019.8908499767765,-8.596894769718317e-14
ABNB,2019.8908499767765,-8.596894769718317e-14
ABT,2019.8908499767765,-8.596894769718317e-14
ACGL,2019.8908499767765,-8.596894769718317e-14
ACN,2019.8908499767765,-8.596894769718317e-14
ADBE,2019.8908499767765,-8.596894769718317e-14
ADI,2019.8908499767765,-8.596894769718317e-14
ADM,2019.8908499767765,-8.596894769718317e-14
ADP,2019.8908499767765,-8.596894769718317e-14
ADSK,2019.8908499767765,-8.596894769718317e-14
AEE,2019.8908499767765,-8.596894769718317e-14
AEP,2019.8908499767765,-8.596894769718317e-14
AES,2019.8908499767765,-8.596894769718317e-14
AFL,2019.8908499767765,-8.596894769718317e-14
AIG,2019.8908499767765,-8.596894769718317e-14
AIZ,2019.8908499767765,-8.596894769718317e-14
AJG,2019.8908499767765,-8.596894769718317e-14
AKAM,2019.8908499767765,-8.596894769718317e-14
ALB,2019.8908499767765,-8.596894769718317e-14
ALGN,2019.8908499767765,-8.596894769718317e-14
ALL,2019.8908499767765,-8.596894769718317e-14
ALLE,2019.8908499767765,-8.596894769718317e-14
AMAT,2019.8908499767765,-8.596894769718317e-14
AMCR,2019.8908499767765,-8.596894769718317e-14
AMD,2019.8908499767765,-8.596894769718317e-14
AME,2019.8908499767765,-8.596894769718317e-14
AMGN,2019.8908499767765,-8.596894769718317e-14
AMP,2019.8908499767765,-8.596894769718317e-14
AMT,2019.8908499767765,-8.596894769718317e-14
AMZN,2019.8908499767765,-8.596894769718317e-14
ANET,2019.8908499767765,-8.596894769718317e-14
ANSS,2019.8908499767765,-8.596894769718317e-14
AON,2019.8908499767765,-8.596894769718317e-14
AOS,2019.8908499767765,-8.596894769718317e-14
APA,2019.8908499767765,-8.596894769718317e-14
APD,2019.8908499767765,-8.596894769718317e-14
APH,2019.8908499767765,-8.596894769718317e-14
APTV,2019.8908499767765,-8.596894769718317e-14
ARE,2019.8908499767765,-8.596894769718317e-14
ATO,2019.8908499767765,-8.596894769718317e-14
AVB,2019.8908499767765,-8.596894769718317e-14
AVGO,2019.8908499767765,-8.596894769718317e-14
AVY,2019.8908499767765,-8.596894769718317e-14
AWK,2019.8908499767765,-8.596894769718317e-14
AXON,2019.8908499767765,-8.596894769718317e-14
AXP,2019.8908499767765,-8.596894769718317e-14
AZO,2019.8908499767765,-8.596894769718317e-14
BA,2019.8908499767765,-8.596894769718317e-14
BAC,2019.8908499767765,-8.596894769718317e-14
BALL,2019.8908499767765,-8.596894769718317e-14
BAX,2019.8908499767765,-8.596894769718317e-14
BBWI,2019.8908499767765,-8.596894769718317e-14
BBY,2019.8908499767765,-8.596894769718317e-14
BDX,2019.8908499767765,-8.596894769718317e-14
BEN,2019.8908499767765,-8.596894769718317e-14
BF.B,2019.8908499767765,-8.596894769718317e-14
BG,2019.8908499767765,-8.596894769718317e-14
BIIB,2019.8908499767765,-8.596894769718317e-14
BIO,2019.8908499767765,-8.596894769718317e-14
BK,2019.8908499767765,-8.596894769718317e-14
BKNG,2019.8908499767765,-8.596894769718317e-14
BKR,2019.8908499767765,-8.596894769718317e-14
BLDR,2019.8908499767765,-8.596894769718317e-14
BLK,2019.8908499767765,-8.596894769718317e-14
BMY,2019.8908499767765,-8.596894769718317e-14
BR,2019.8908499767765,-8.596894769718317e-14
BRK-B,2019.8908499767765,-8.596894769718317e-14
BRO,2019.8908499767765,-8.596894769718317e-14
BSX,2019.8908499767765,-8.596894769718317e-14
BWA,2019.8908499767765,-8.596894769718317e-14
BX,2019.8908499767765,-8.596894769718317e-14
BXP,2019.8908499767765,-8.596894769718317e-14
C,2019.8908499767765,-8.596894769718317e-14
C1000,2019.0,-0.3368263054650622
C1001,2017.0,-1.0930171664308197
C1002,2018.0,-0.714921735947941
C1006,2016.0,-1.4711125969136982
C1007,2017.0,-1.0930171664308197
C1008,2020.0,0.04126912501781648
C1009,2018.0,-0.714921735947941
C1013,2016.0,-1.4711125969136982
C1014,2021.0,0.4193645555006952
C1015,2019.0,-0.3368263054650622
C1016,2024.0,1.5536508469493313
C1018,2019.0,-0.3368263054650622
C1019,2023.0,1.1755554164664526
C1020,2019.0,-0.3368263054650622
C1021,2024.0,1.5536508469493313
C1022,2015.0,-1.849208027396577
C1023,2019.0,-0.3368263054650622
C1024,2020.0,0.04126912501781648
C1026,2018.0,-0.714921735947941
C1027,2023.0,1.1755554164664526
C1029,2016.0,-1.4711125969136982
C1030,2016.0,-1.4711125969136982
C1031,2024.0,1.5536508469493313
C1032,2020.0,0.04126912501781648
C1033,2017.0,-1.0930171664308197
C1034,2024.0,1.5536508469493313
C1035,2022.0,0.7974599859835739
C1037,2022.0,0.7974599859835739
C1039,2019.0,-0.3368263054650622
C1041,2017.0,-1.0930171664308197
C1043,2022.0,0.7974599859835739
C1045,2023.0,1.1755554164664526
C1046,2015.0,-1.849208027396577
C1047,2023.0,1.1755554164664526
C1048,2024.0,1.5536508469493313
C1051,2022.0,0.7974599859835739
C1052,2022.0,0.7974599859835739
C1053,2016.0,-1.4711125969136982
C1054,2021.0,0.4193645555006952
C1056,2022.0,0.7974599859835739
C1057,2024.0,1.5536508469493313
C1058,2015.0,-1.849208027396577
C1059,2015.0,-1.849208027396577
C1060,2020.0,0.04126912501781648
C1063,2015.0,-1.849208027396577
C1064,2016.0,-1.4711125969136982
C1065,2021.0,0.4193645555006952
C1066,2016.0,-1.4711125969136982
C1067,2023.0,1.1755554164664526
C1069,2022.0,0.7974599859835739
C1071,2016.0,-1.4711125969136982
C1073,2022.0,0.7974599859835739
C1075,2019.0,-0.3368263054650622
C1076,2017.0,-1.0930171664308197
C1078,2015.0,-1.849208027396577
C1079,2024.0,1.5536508469493313
C1080,2024.0,1.5536508469493313
